loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-02-08 21:19:02.224,97,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.318039,-0.9038848876953125,1.087921142578125,-0.017730712890625,2628.294812291667,0.5061902241846689,-0.303226989084204,1.299678804657669,2628.294812291667,2.972911427392385,-1.340900982380437,-0.6180507638369334,0.4996804893016815,-0.2906509637832642,1.337675094604492,0.08517750352621078,0.2813311815261841,0.05057369917631149,XArbitraryZVertical,0.5697280491628819,-0.2873143802836296,0.7596913760478535,-0.1254169447794816,-0.7935667634010315,0.5794476270675659,-0.1857207864522934,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.268,98,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.376922583333,-0.7429351806640625,0.576385498046875,-0.185272216796875,2628.367306375,-0.7217161227792556,0.08569040386660759,1.592974067088641,2628.367306375,2.997871467405223,-1.330108058677836,-0.7148775613069688,-0.7282257676124573,0.09826622903347015,1.630969762802124,-0.01905168034136295,0.01532770227640867,0.02125910669565201,XArbitraryZVertical,0.5568393301520603,-0.3161078712644704,0.7507487917052318,-0.162425447124504,-0.7334049940109253,0.6555249691009521,-0.1800115555524826,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.352,99,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.435805541667,-0.9237518310546875,0.8324737548828125,0.002685546875,2628.403553333334,-0.2728150210160442,0.3155963070831861,0.8976970086633645,2628.403553333334,2.986953594671913,-1.330171777822769,-0.7653208672893834,-0.2793246507644653,0.3281720578670502,0.9356925487518311,-0.1284744143486023,-0.1470530927181244,-0.07727114111185074,XArbitraryZVertical,0.548087943393902,-0.3371498953973037,0.7455715434635138,-0.1733569378977215,-0.7003830075263977,0.6927684545516968,-0.1718591153621674,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.385,100,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.494686416667,-0.697113037109375,0.786590576171875,-0.0411834716796875,2628.476047416667,-0.8839305963565269,0.7046753539121655,-0.4100767404437092,2628.476047416667,2.984334326279372,-1.28754397120389,-0.7715781590378511,-0.8904401063919067,0.7172509431838989,-0.3720818161964417,-0.07084688544273376,0.1054670289158821,0.3241746127605438,XArbitraryZVertical,0.5307429273987444,-0.3437219771878949,0.7565017746251446,-0.1669497301683141,-0.6882473230361938,0.6972673535346985,-0.200334295630455,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.454,101,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.553562,-0.3968505859375,0.66632080078125,-0.2006683349609375,2628.548541416667,-1.35237930052092,1.020208277761408,-0.1028366339128647,2628.512294125,2.911422942785352,-1.311023323105205,-0.766720552975691,-1.570497751235962,0.8424889445304871,-0.5697368383407593,0.04226334393024445,0.09967987984418869,0.08446388691663742,XArbitraryZVertical,0.5275298734116148,-0.3594688297671025,0.7565121090713144,-0.1420697783227583,-0.6960261464118958,0.6937771439552307,-0.1849887818098068,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.502,102,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.612547875,-0.4688262939453125,0.565643310546875,-0.115966796875,2628.621035291667,-0.1583211983796846,0.2447692715764197,0.6350664482880014,2628.584788416667,2.790887154191983,-1.325411331183021,-0.7850895723355672,-0.7670703530311584,0.905088484287262,0.418040007352829,0.2682132720947266,-0.08927379548549652,0.0116740632802248,XArbitraryZVertical,0.5071275812723538,-0.3961142001367896,0.7582590970656091,-0.1046818918442982,-0.6861362457275391,0.7068885564804077,-0.1718303114175797,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.561,103,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.671431041667,-0.6138916015625,0.56036376953125,-0.0219879150390625,2628.657282375,-0.001470597553941755,-0.2814926651119584,0.8046413664860338,2628.657282375,2.785029388137426,-1.310904593780928,-0.8357540510319337,-0.007979905232787132,-0.2689175009727478,0.8426350355148315,0.1116139069199562,-0.1835901290178299,0.1384582966566086,XArbitraryZVertical,0.4911867129224982,-0.4154145004316325,0.7569376319192429,-0.1149427129661894,-0.6480976939201355,0.7418023943901062,-0.1723328083753586,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.650,104,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.730207333334,-0.7056121826171875,0.553985595703125,-0.0172882080078125,2628.729776208334,-0.1014315501217389,-0.008347944752962379,0.7502199359263736,2628.693529375,2.797121345719253,-1.319767976844394,-0.8613176633147908,0.08063390851020813,-0.7197425961494446,0.6397947669029236,-0.03421681746840477,-0.1926157772541046,0.1606882661581039,XArbitraryZVertical,0.4922807588724893,-0.4204175862596796,0.7511618714167981,-0.1290912488789822,-0.6310206055641174,0.7587016224861145,-0.1618174165487289,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.679,105,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.789092416667,-0.8483123779296875,0.746002197265625,0.0134735107421875,2628.766023333334,0.07498289838783499,0.04405720654539885,0.5553130294395074,2628.766023333334,2.816496687349831,-1.31584211816106,-0.9098928299763531,0.0685865506529808,0.05653057992458344,0.5933619737625122,-0.2000639289617538,-0.1623475104570389,0.1552817076444626,XArbitraryZVertical,0.4857681689419627,-0.4320010892322458,0.7448948058910858,-0.1501201955148528,-0.5939881801605225,0.7894379496574402,-0.1548086851835251,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
2015-02-08 21:19:02.754,106,1423459142.153486,37.77944002304019,-122.4388413504906,62.22586,0.71,7.3828125,3,10,-9999,2628.847970333334,-0.922027587890625,0.8491668701171875,-0.045135498046875,2628.838517,-0.04655631691232921,-0.1906399897883412,0.2850107009119531,2628.838517,2.829248793924279,-1.308975371339474,-0.9392999080953007,-0.05295256525278091,-0.1781668066978455,0.3230590522289276,-0.3666097223758698,0.06515419483184814,0.1179253682494164,XArbitraryZVertical,0.480388288016246,-0.4391168543750587,0.7417020102332881,-0.1621160354699182,-0.5702341794967651,0.8071449995040894,-0.1528069674968719,0,0,0,-1,192.168.1.8,10.227.79.254,5,0
